"[['Nombre0', 'JAUZ INMOBILIARIA SAC'], ['Correo0', 'pjaramillo@jauzinmobiliaria.com']]","[['Nombre1', 'PERU & U S.A.C'], ['Correo1', 'gerencia@peruyu.com.pe']]","[['Nombre2', 'OSEMAR INGENIEROS S.A'], ['Correo2', 'osemaringenieros@yahoo.com']]","[['Nombre3', 'CSR BIENES RAICES S.A.C'], ['Correo3', 'administracion@csr.com.pe']]","[['Nombre4', 'MORGENSTERN Y ASOCIADOS SAC'], ['Correo4', 'eydsaraf@yahoo.com']]","[['Nombre5', 'INMOBILIARIA E INVERSIONES EDIFICASA EIRL'], ['Correo5', 'inmobiliariaedificasa@hotmail.com']]","[['Nombre6', 'INVER HOUSING PERU EIRL'], ['Correo6', '-']]","[['Nombre7', 'PERU REALTORS ONLINE SAC'], ['Correo7', 'ventas@perurealtosonline.com']]","[['Nombre8', 'REALTY PARTNERS SAC'], ['Correo8', 'ebaez@realtyp.net']]","[['Nombre9', 'HATUM WASI HERNANDEZ BIENES RAICES EIRL'], ['Correo9', 'hatumwasibienesraices@yahoo.com']]"
"[['Nombre0', 'JAUZ INMOBILIARIA SAC'], ['Correo0', 'pjaramillo@jauzinmobiliaria.com']]","[['Nombre1', 'PERU & U S.A.C'], ['Correo1', 'gerencia@peruyu.com.pe']]","[['Nombre2', 'OSEMAR INGENIEROS S.A'], ['Correo2', 'osemaringenieros@yahoo.com']]","[['Nombre3', 'CSR BIENES RAICES S.A.C'], ['Correo3', 'administracion@csr.com.pe']]","[['Nombre4', 'MORGENSTERN Y ASOCIADOS SAC'], ['Correo4', 'eydsaraf@yahoo.com']]","[['Nombre5', 'INMOBILIARIA E INVERSIONES EDIFICASA EIRL'], ['Correo5', 'inmobiliariaedificasa@hotmail.com']]","[['Nombre6', 'INVER HOUSING PERU EIRL'], ['Correo6', '-']]","[['Nombre7', 'PERU REALTORS ONLINE SAC'], ['Correo7', 'ventas@perurealtosonline.com']]","[['Nombre8', 'REALTY PARTNERS SAC'], ['Correo8', 'ebaez@realtyp.net']]","[['Nombre9', 'HATUM WASI HERNANDEZ BIENES RAICES EIRL'], ['Correo9', 'hatumwasibienesraices@yahoo.com']]"
"[['Nombre0', 'INVERSIONES MARVEL SRL'], ['Correo0', 'adelmarv@hotmail.com']]","[['Nombre1', 'ROQUEMERINO SAC'], ['Correo1', 'o.rodriguez@roquemerino.com.pe']]","[['Nombre2', 'INVERSIONES INMOBILIARIAS SANTO DOMINGO SAC'], ['Correo2', 'josels@santodomingoinmobiliaria.com']]","[['Nombre3', 'ARTISTOLL S.A.C.'], ['Correo3', 'elsie@fernandezstoll.com']]","[['Nombre4', 'CIA INMOB. Y COMERCIAL MAGDALENA S.A.'], ['Correo4', 'cicomsa@ec-red.com']]","[['Nombre5', 'A & P SALINAS SERVICIOS GENERALES EIRL'], ['Correo5', 'gianninabatagelj@hotmail.com']]","[['Nombre6', 'MISPIRETA E HIJOS SAC'], ['Correo6', 'informes@inmobiliariamispiretas.com']]","[['Nombre7', 'PERALTTI NEGOCIOS INMOBILIARIOS S.A.C.'], ['Correo7', 'peralttinegocios@gmail.com']]","[['Nombre8', 'WAMIR SRL'], ['Correo8', 'wamir@infonegocio.net.pe']]","[['Nombre9', 'CONSORCIO ALAGON SAC'], ['Correo9', 'luisalagon@hotmail.com']]"
"[['Nombre0', 'GAB SAC'], ['Correo0', 'g.arredondo@gabinmobiliaria.com']]","[['Nombre1', 'A.E.I.O. EIRL'], ['Correo1', 'hnosiparraguirre@hnosiparraguirre.com']]","[['Nombre2', 'BUSCASA PERU EIRL'], ['Correo2', 'jaguilar@buscasaperu.com']]","[['Nombre3', 'VES GRUPO INMOBILIARIO S.A.C.'], ['Correo3', 'vesgrupoinmobiliario@gmail.com']]","[['Nombre4', 'INVERSIONES CASA JOVEN SAC'], ['Correo4', 'rociovenegas1969@yahoo.com']]","[['Nombre5', 'ALFAGI SAC'], ['Correo5', 'gianestela@gmail.com']]","[['Nombre6', 'INMOBILIARIA INCA WASI SCRL'], ['Correo6', 'imbincawasi@hotmail.com']]","[['Nombre7', 'GRUPO INMOBILIARIO LOS FAROS SAC'], ['Correo7', 'mskad0405@hotmail.com']]","[['Nombre8', 'JC DIVISION INMOBILIARIA SAC'], ['Correo8', 'Lourdes0708@hotmail.com']]","[['Nombre9', 'LIZARRAGA CONSTRUCTORA E INMOBILIARIA EIRL'], ['Correo9', 'arislizarraga@hotmail.com']]"
"[['Nombre0', 'QFER SRL'], ['Correo0', 'info@qfer.pe']]","[['Nombre1', 'CONSTRUCTORA E INMOBILIARIA MHO SAC'], ['Correo1', 'rmiagusuku@fasedos.com.pe']]","[['Nombre2', 'J & L ORTIZ SAC CONTRATISTAS GENERALES'], ['Correo2', 'mega_matse@hotmail.com']]","[['Nombre3', 'CONTACTOS INMOBILIARIOS SAC'], ['Correo3', 'ventas@contactosinmobiliarios.pe']]","[['Nombre4', 'GESTORES INMOBILIARIOS SAC'], ['Correo4', 'i_milla@gestores-inmobiliarios.com']]","[['Nombre5', 'HOYLE & ASOCIADOS GRUPO INMOBILIARIO SAC'], ['Correo5', 'informes@hoyleinmobiliaria.com']]","[['Nombre6', 'AMABRIZ SRL'], ['Correo6', 'asozab@hotmail.com']]","[['Nombre7', 'ADOLFO URBINA & ASOCIADOS S.R.L.'], ['Correo7', 'ventas@urbinaasociados.com']]","[['Nombre8', 'INVERSIONES INMOBILIARIAS DON GUILLERMO EIRL'], ['Correo8', 'lamercantilsrl@hotmail.com']]","[['Nombre9', 'INMOBILIARIA X SAC'], ['Correo9', 'info@inmobiliariax.com']]"
"[['Nombre0', 'BRACKSON EIRL'], ['Correo0', 'conwalter@yahoo.es']]","[['Nombre1', 'ALTERNATIVA INMOBILIARIA SAC'], ['Correo1', 'ventas@contactosinmobiliarios.pe']]","[['Nombre2', 'RDZ INGENIEROS ARQUITECTOS SAC'], ['Correo2', 'rdz.ingenieros.arquitectos@gmail.com']]","[['Nombre3', 'TRAPEZIO INMOBILIARIA SAC'], ['Correo3', 'trapezio.inmobiliaria@hotmail.com']]","[['Nombre4', 'SERVICIOS JULIO BARRAZA ANAYA EIRL'], ['Correo4', 'inmobiliariajuliobarraza@gmail.com']]","[['Nombre5', 'CONSTRUTEC INGENIEROS & ARQUITECTOS EIRL'], ['Correo5', 'construtecingenierosyarquitectos@hotmail.com']]","[['Nombre6', 'PORTALINKA SAC'], ['Correo6', 'portalinka@gmail.com']]","[['Nombre7', 'INGENIERIA Y VALUACIONES SA'], ['Correo7', 'ana_polar@hotmail.com']]","[['Nombre8', 'MUNDO INMOBILIARIO EMPRESARIAL SAC'], ['Correo8', 'mie_sac@hotmail.com']]","[['Nombre9', 'CASAS & DISEÑOS SAC'], ['Correo9', 'p_donayre@hotmail.com']]"
"[['Nombre0', 'SPAZIO ADMINISTRACION INMOBILIARIA SAC'], ['Correo0', 'info@spazioai.com']]","[['Nombre1', 'B & D GUTIERREZ ADMINISTRACION INMOBILIARIA SAC'], ['Correo1', 'inmobiliariagutierrez2014@hotmail.com']]","[['Nombre2', 'CONSULTORES INMOBILIARIOS REGISTRADOS SAC'], ['Correo2', 'info@cirsac.com']]","[['Nombre3', 'VNP INTERNATIONAL SAC'], ['Correo3', 'vnp_inmobiliaria@hotmail.com']]","[['Nombre4', 'INMOBILIARIAS ASOCIADAS SAC'], ['Correo4', 'soporte3@masterhouse.com']]","[['Nombre5', 'CONSTRUCTORA TALIDAS SAC'], ['Correo5', 'talidassac@gmail.com']]","[['Nombre6', 'SERMATEC CONSULTORES SAC'], ['Correo6', 'sermatec.consultores.2010@gmail.com']]","[['Nombre7', 'MANTYOBRAS SAC'], ['Correo7', 'mantyobras@yahoo.es']]","[['Nombre8', 'GRUPO INMOBILIARIO DEL SUR SAC'], ['Correo8', 'grupoinmobiliariodelsur@hotmail.com']]","[['Nombre9', 'PREMIUM PLUS HOME EIRL'], ['Correo9', 'info@premiumplushome.com']]"
"[['Nombre0', 'INMOBILIARIA LUROSS SAC'], ['Correo0', 'inmobiliarialuross@yahoo.com']]","[['Nombre1', 'DTOTALES INMOBILIARIA CONSULTORA CONSTRUCTORA SAC'], ['Correo1', 'dtotales@hotmail.com']]","[['Nombre2', 'PER GRUPO INMOBILIARIO SAC'], ['Correo2', 'rcavero@per.com.pe']]","[['Nombre3', 'AUTOSERVICIOS 2222 EIRL'], ['Correo3', 'autoservicios2222@hotmail.com']]","[['Nombre4', 'INVERSIONES BUNKER EIRL'], ['Correo4', 'mbunker@speedy.com.pe']]","[['Nombre5', 'C.M.I. INTERNATIONAL SAC'], ['Correo5', 'contact@cmi-peru.com']]","[['Nombre6', 'INCA HOME INMOBILIARIA SAC'], ['Correo6', 'fernando@incahome.pe']]","[['Nombre7', 'PACHECO BENAVIDES & ASOCIADOS EIRL'], ['Correo7', 'administracion@pachecobenavidesasociados.com']]","[['Nombre8', 'MASTER DECOR PERU EIRL'], ['Correo8', 'jcordero@masterdecorperu.com']]","[['Nombre9', 'EUREKA BUILDING & TECHNOLOGIES SRL'], ['Correo9', 'gerencia@eurekaperu.com']]"
"[['Nombre0', 'C.V CONTADORES-AUDITORES SAC'], ['Correo0', 'tcabada@hotmail.com']]","[['Nombre1', 'CAMELOT INMOBILIARIA SAC'], ['Correo1', 'inmobiliariacamelot@gmail.com']]","[['Nombre2', 'INTELIGENCIA INMOBILIARIA SAC'], ['Correo2', 'dzapatel@inteligenciainmobiliaria.biz']]","[['Nombre3', 'ALTO LAS VIÑAS SAC'], ['Correo3', 'altolasvinas@gmail.com']]","[['Nombre4', 'DMAYO SAC'], ['Correo4', 'edwing@dmayo.com']]","[['Nombre5', 'KORE S.A. PROMOTORES INMOBILIARIOS'], ['Correo5', 'j.fernandez@kore.com.pe']]","[['Nombre6', 'LA FINCA BIENES RAICES EIRL (antes SS MULTISERVICIOS EIRL)'], ['Correo6', 'sssa25@yahoo.com']]","[['Nombre7', 'GRUPO ALYSEB SAC'], ['Correo7', 'carbonimur@alyseb.com']]","[['Nombre8', 'CONSTRUCTORA INSAGA EIRL'], ['Correo8', 'constructora.insaga@hotmail.com']]","[['Nombre9', 'PROCITY REALTORS EIRL'], ['Correo9', 'ceciliamlevi@yahoo.com.mx']]"
"[['Nombre0', 'KENHOUSE EIRL'], ['Correo0', 'enriquebaba@gmail.com']]","[['Nombre1', 'CARLAMONICA SAC'], ['Correo1', 'ventas@proyectogirasoles.com']]","[['Nombre2', 'INMOBILIARIA PRADO VERDE SAC'], ['Correo2', 'jaisancar@hotmail.com']]","[['Nombre3', 'FRADES INMOBILIARIA SCRL'], ['Correo3', 'alesardon@hotmail.com']]","[['Nombre4', 'INMOBILIARIA CONSTRUCTORA CHECYA VALENCIA EIRL'], ['Correo4', '-']]","[['Nombre5', 'VTR SAC'], ['Correo5', 'eduardo.castellanos17@gmail.com']]","[['Nombre6', 'ABC INMUEBLES Y SERVICIOS SAC'], ['Correo6', 'abcinmuebles@yahoo.com']]","[['Nombre7', 'RESIDENTIAL SAC'], ['Correo7', 'informe@residentialperu.com']]","[['Nombre8', 'BULEVAR INMOBILIARIA SAC'], ['Correo8', 'felipebulevart@hotmail.com']]","[['Nombre9', 'DOOMO SOLUCIONES INMOBILIARIAS SA'], ['Correo9', 'doomo@doomo.com.pe']]"
"[['Nombre0', 'VILLARAN & RODRIGO SAC'], ['Correo0', 'jorgevillaran@villaran.com']]","[['Nombre1', 'NK PERU BORKERAGE FIRM SRL'], ['Correo1', 'vicente_caminodeluz@hotmail.com']]","[['Nombre2', 'QUALITY INMUEBLES SAC'], ['Correo2', 'jaguero@coldwellbankerperu.com']]","[['Nombre3', 'STRUO SAC'], ['Correo3', 'Jzavala@struo.com.pe']]","[['Nombre4', 'JACKAR INVERSIONES SAC'], ['Correo4', 'bertha_robles@hotmail.com']]","[['Nombre5', 'INMOBILIARIA CONSULVIP SRL'], ['Correo5', 'consulvip@peru.com']]","[['Nombre6', 'FUTURO BIENES RAICES SAC'], ['Correo6', 'futurobienesraices@peru.com']]","[['Nombre7', 'INMOBILIARIA CENTENIO EIRL'], ['Correo7', 'sjbhp@hotmail.com']]","[['Nombre8', 'GOLDEN DREAM HOMES SAC'], ['Correo8', 'infor@goldendreamhomes.net']]","[['Nombre9', 'QUALITY INVESTMENTS SAC'], ['Correo9', 'jaguero@qualityconstrucciones.com']]"
"[['Nombre0', 'VILLARAN & RODRIGO SAC'], ['Correo0', 'jorgevillaran@villaran.com']]","[['Nombre1', 'NK PERU BORKERAGE FIRM SRL'], ['Correo1', 'vicente_caminodeluz@hotmail.com']]","[['Nombre2', 'QUALITY INMUEBLES SAC'], ['Correo2', 'jaguero@coldwellbankerperu.com']]","[['Nombre3', 'STRUO SAC'], ['Correo3', 'Jzavala@struo.com.pe']]","[['Nombre4', 'JACKAR INVERSIONES SAC'], ['Correo4', 'bertha_robles@hotmail.com']]","[['Nombre5', 'INMOBILIARIA CONSULVIP SRL'], ['Correo5', 'consulvip@peru.com']]","[['Nombre6', 'FUTURO BIENES RAICES SAC'], ['Correo6', 'futurobienesraices@peru.com']]","[['Nombre7', 'INMOBILIARIA CENTENIO EIRL'], ['Correo7', 'sjbhp@hotmail.com']]","[['Nombre8', 'GOLDEN DREAM HOMES SAC'], ['Correo8', 'infor@goldendreamhomes.net']]","[['Nombre9', 'QUALITY INVESTMENTS SAC'], ['Correo9', 'jaguero@qualityconstrucciones.com']]"
"[['Nombre0', 'UTIRENOVA SAC'], ['Correo0', 'johnduinmaijer@hotmail.com']]","[['Nombre1', 'JHS SOLUCIONES INMOBILIARIAS SA'], ['Correo1', 'rtr.tumi@gmail.com']]","[['Nombre2', 'PROINVERT INMOBILIARIA EIRL'], ['Correo2', 'ingcivmel@gmail.com']]","[['Nombre3', 'NEGOCIOS INTERNACIONALES PERU SAC'], ['Correo3', 'nei1781@hotmail.com']]","[['Nombre4', 'INMOBILIARIA JOSE ANTONIO MACHUCA ORTIZ EIRL'], ['Correo4', 'jamo@jamo.com.pe']]","[['Nombre5', 'PUNTO AUREO EIRL'], ['Correo5', 'malena.mendiola@gmail.com']]","[['Nombre6', 'CAÑAMERO & CHAU INTERNACIONAL SAC'], ['Correo6', 'renzo@casaofertasperu.com']]","[['Nombre7', 'CALIDEZ INMOBILIARIA ADMINISTRACION SAC'], ['Correo7', 'chermozav@hotmail.com']]","[['Nombre8', 'RAIG INMOBILIARIA SAC'], ['Correo8', 'gladysgiraldo2010@hotmail.com']]","[['Nombre9', 'MENDOZA INGUNZA INMOBILIARIA SA'], ['Correo9', 'ventas@mi-inmobiliaria.org']]"
"[['Nombre0', 'JONKER INVESTMENT CORPORATION SAC'], ['Correo0', 'contabilidad@jonker.corp.com']]","[['Nombre1', 'COMPAÑÍA PERUANA DE CONSTRUCCIONES Y SERVICIOS GENERALES SAC'], ['Correo1', 'copecsac@terra.com.pe']]","[['Nombre2', 'VIDA GRUPO INMOBILIARIO EIRL'], ['Correo2', 'vidagrupoinmobiliariosac@hotmail.com']]","[['Nombre3', 'OFALDI EIRL'], ['Correo3', 'informes@ofaldi.com']]","[['Nombre4', 'GIORDISHOUSE INMOBILIARIA SRL'], ['Correo4', 'giordanomerz62@hotmail.com']]","[['Nombre5', 'LAPPSA ORGANIZACIÓN INMOBILIARIA SA'], ['Correo5', 'dsanabria@lappsa.com']]","[['Nombre6', 'INMOBILIARIA Y CONSTRUCTORA HILCAR INGENIEROS EIRL'], ['Correo6', 'hilcaringeni@hotmail.com']]","[['Nombre7', 'PERULISTINGS SAC'], ['Correo7', 'tonymejia@perulistings.com']]","[['Nombre8', 'PROYECTA HOME SAC'], ['Correo8', 'ecasas@proyectahome.com']]","[['Nombre9', 'INMOBILIARIA FERDEL SAC'], ['Correo9', 'alfredo@delirsa.com']]"
